[2026-04-04T13:20:54.076247] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.4% | Time: 2026-04-04 13:20:54 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c2deb184a370274d42a9.jpg
[2026-04-04T13:21:28.322042] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 77.3% | Time: 2026-04-04 13:21:28 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c300b184a370274d42b3.jpg
[2026-04-04T13:21:34.563995] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 82.0% | Time: 2026-04-04 13:21:34 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c305b184a370274d42b4.jpg
[2026-04-04T13:21:42.710367] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 79.8% | Time: 2026-04-04 13:21:42 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c30eb184a370274d42bc.jpg
[2026-04-04T13:22:22.908296] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 76.0% | Time: 2026-04-04 13:22:22 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c336b184a370274d42c6.jpg
[2026-04-04T13:22:55.711768] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.0% | Time: 2026-04-04 13:22:55 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c357b184a370274d42ce.jpg
[2026-04-04T13:23:02.025405] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 80.5% | Time: 2026-04-04 13:23:02 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c35eb184a370274d42d2.jpg
[2026-04-04T13:23:11.098793] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.6% | Time: 2026-04-04 13:23:11 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c367b184a370274d42d3.jpg
[2026-04-04T13:23:52.493598] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 81.3% | Time: 2026-04-04 13:23:52 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c390b184a370274d42d6.jpg
[2026-04-04T13:24:24.643210] 🔥 EMERGENCY ALERT: FIRE DETECTED | Zone/Location: Admin Block (Camera: fire 2) | Confidence: 78.7% | Time: 2026-04-04 13:24:24 | 🚨 IMMEDIATE EVACUATION/ACTION REQUIRED | Snapshot: http://127.0.0.1:5000/alert_images/violation_69d0c3b0b184a370274d42e4.jpg
